restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis,total_weight_g
파파존스,햄 머쉬룸 식스치즈(L 스파이시 갈릭 치즈롤),피자,120,,309,15,3,7,540,,,
파파존스,햄 머쉬룸 식스치즈(L 체다치즈롤),피자,105,,262,13,3,6,501,,,
파파존스,햄 머쉬룸 식스치즈(F 오리지널),피자,124,,301,14,4,5,544,,,
파파존스,햄 머쉬룸 식스치즈(F 골드링),피자,161,,415,20,8,8,674,,,
파파존스,햄 머쉬룸 식스치즈(F 치즈롤),피자,163,,408,21,4,10,753,,,
파파존스,햄 머쉬룸 식스치즈(F 씬),피자,122,,331,15,1,7,526,,,
파파존스,햄 머쉬룸 식스치즈(F 골드링씬),피자,159,,428,18,6,11,610,,,
파파존스,햄 머쉬룸 식스치즈(F 스파이시 갈릭 치즈롤),피자,158,,406,20,4,10,709,,,
파파존스,햄 머쉬룸 식스치즈(F 체다치즈롤),피자,146,,362,18,4,8,693,,,
파파존스,햄 머쉬룸 식스치즈(P 오리지널),피자,126,,307,14,4,5,553,,,
파파존스,햄 머쉬룸 식스치즈(P 골드링),피자,174,,449,22,9,9,729,,,
파파존스,햄 머쉬룸 식스치즈(P 치즈롤),피자,164,,411,21,4,10,759,,,
파파존스,햄 머쉬룸 식스치즈(P 스파이시 갈릭 치즈롤),피자,158,,406,20,4,10,710,,,
파파존스,햄 머쉬룸 식스치즈(P 체다치즈롤),피자,157,,390,19,4,9,746,,,
파파존스,그린잇 식물성 마가리타(L 오리지널),피자,146,,400,10,9,5,826,,,
파파존스,그린잇 식물성 가든스페셜(L 오리지널),피자,192,,405,11,11,7,841,,,
파파존스,크리스피 치즈 트리플(F 씬),피자,144,,493,23,3,8,984,,,
파파존스,크리스피 치즈 페퍼로니(F 씬),피자,164,,530,24,4,10,1099,,,
파파존스,더블 핫 앤 스파이시 멕시칸(L 스파이시 갈릭 치즈롤),피자,121,,290,12,5,5,676,,,
파파존스,더블 핫 앤 스파이시 멕시칸(F 스파이시 갈릭 치즈롤),피자,159,,381,16,7,7,888,,,
파파존스,더블 핫 앤 스파이시 멕시칸(P 스파이시 갈릭 치즈롤),피자,159,,382,16,7,7,889,,,
파파존스,골든 체다 페퍼(L 체다치즈롤),피자,120,,335,16,3,6,734,,,
파파존스,골든 체다 페퍼(F 체다치즈롤),피자,166,,464,22,4,9,1016,,,
파파존스,골든 체다 페퍼(P 체다치즈롤),피자,179,,500,24,4,10,1094,,,
파파존스,불닭 까르보 치킨 피자(L 오리지널),피자,188,,470,23,9,5,1105,,,
파파존스,불닭 까르보 치킨 피자(F 오리지널),피자,130,,325,16,6,3,764,,,
파파존스,불닭 까르보 치킨 피자(P 오리지널),피자,140,,350,17,7,3,823,,,
파파존스,불닭 까르보 치킨 피자(L 치즈롤),피자,107,,277,15,4,4,666,,,
파파존스,불닭 까르보 치킨 피자(F 치즈롤),피자,149,,384,21,5,5,922,,,
파파존스,불닭 까르보 치킨 피자(P 치즈롤),피자,160,,413,23,5,6,993,,,
파파존스,불닭 까르보 치킨 피자(L 골드링),피자,112,,297,16,8,3,628,,,
