restaurant,menu_name,menu_category,weight_g,price_krw,calorie_kcal,protein_g,sugar_g,saturated_fat_g,sodium_mg,caffeine_mg,nutrition_basis
파리바게뜨,인생크림빵 옥수수,,110,,335,5,14,11,260,,
파리바게뜨,[파란라벨]저당 요거트크림빵,,100,,335,6,4,12,250,,
파리바게뜨,멕시칸소시지페스츄리,,45,,145,4,2,4.6,240,,
파리바게뜨,멕시칸소시지페스츄리(2개입),,90,,290,7,3,9,480,,
파리바게뜨,고추장 불고기 샌드위치,,195,,395,13,20,2.7,970,,
파리바게뜨,젤리베어 사우어 청사과맛,,64,,232,4,39,0,40,,
파리바게뜨,젤리베어 사우어 메론소다맛,,64,,235,3,36,0,55,,
파리바게뜨,프루티 하동: 그린티,,6,,0,,,,,,
파리바게뜨,영 그레이,,6,,0,,,,,,
파리바게뜨,촉촉한 치즈케익,,80,,307,5,23,6,115,,
파리바게뜨,우유가좋은뽀로로케익,,80,,298,5,22,6,120,,
파리바게뜨,아삭복숭아 젤리,,140,,113,0,23,0,90,,
파리바게뜨,레피시에 미니딸기잼,,105,,260,1,51,0,5,,
파리바게뜨,시금치버터빵,,145,,445,12,7,11,1050,,
파리바게뜨,레피시에 딸기잼,,380,,250,1,53,0,0,,
파리바게뜨,레피시에 저당딸기잼,,265,,33,0.5,4,0,5,,
